"","titles","authors","subjects","abstracts","metadata"
"11","towards robotic companions: understanding handler-guide dog interactions for informed guide dog robot design","hochul hwang, hee-tae jung, nicholas a giudice, joydeep biswas, sunghoon ivan lee, donghyun kim","robotics (cs.ro)","dog guides are favored by blind and low-vision (blv) individuals for their ability to enhance independence and confidence by reducing safety concerns and increasing navigation efficiency compared to traditional mobility aids. however, only a relatively small proportion of blv individuals work with dog guides due to their limited availability and associated maintenance responsibilities. there is considerable recent interest in addressing this challenge by developing legged guide dog robots. this study was designed to determine critical aspects of the handler-guide dog interaction and better understand handler needs to inform guide dog robot development. we conducted semi-structured interviews and observation sessions with 23 dog guide handlers and 5 trainers. thematic analysis revealed critical limitations in guide dog work, desired personalization in handler-guide dog interaction, and important perspectives on future guide dog robots. grounded on these findings, we discuss pivotal design insights for guide dog robots aimed for adoption within the blv community.","fri, 9 feb 2024 21:24:13 utc (44,908 kb)"
"12","gazegpt: augmenting human capabilities using gaze-contingent contextual ai for smart eyewear","robert konrad, nitish padmanaban, j. gabriel buckmaster, kevin c. boyle, gordon wetzstein","human-computer interaction (cs.hc)","multimodal large language models (lmms) excel in world knowledge and problem-solving abilities. through the use of a world-facing camera and contextual ai, emerging smart accessories aim to provide a seamless interface between humans and lmms. yet, these wearable computing systems lack an understanding of the user's attention. we introduce gazegpt as a new user interaction paradigm for contextual ai. gazegpt uses eye tracking to help the lmm understand which object in the world-facing camera view a user is paying attention to. using extensive user evaluations, we show that this gaze-contingent mechanism is a faster and more accurate pointing mechanism than alternatives; that it augments human capabilities by significantly improving their accuracy in a dog-breed classification task; and that it is consistently ranked as more natural than head- or body-driven selection mechanisms for contextual ai. moreover, we prototype a variety of application scenarios that suggest gazegpt could be of significant value to users as part of future ai-driven personal assistants.","tue, 30 jan 2024 18:02:44 utc (2,702 kb)[v2] wed, 31 jan 2024 05:21:13 utc (2,702 kb)"
"13","unveiling the unseen: identifiable clusters in trained depthwise convolutional kernels","zahra babaiee, peyman m. kiasari, daniela rus, radu grosu","machine learning (cs.lg)","recent advances in depthwise-separable convolutional neural networks (ds-cnns) have led to novel architectures, that surpass the performance of classical cnns, by a considerable scalability and accuracy margin. this paper reveals another striking property of ds-cnn architectures: discernible and explainable patterns emerge in their trained depthwise convolutional kernels in all layers. through an extensive analysis of millions of trained filters, with different sizes and from various models, we employed unsupervised clustering with autoencoders, to categorize these filters. astonishingly, the patterns converged into a few main clusters, each resembling the difference of gaussian (dog) functions, and their first and second-order derivatives. notably, we were able to classify over 95\% and 90\% of the filters from state-of-the-art convnextv2 and convnext models, respectively. this finding is not merely a technological curiosity; it echoes the foundational models neuroscientists have long proposed for the vision systems of mammals. our results thus deepen our understanding of the emergent properties of trained ds-cnns and provide a bridge between artificial and biological visual processing systems. more broadly, they pave the way for more interpretable and biologically-inspired neural network designs in the future.","thu, 25 jan 2024 19:05:53 utc (16,561 kb)"
"14","dna sequence classification with compressors","şükrü ozan","genomics (q-bio.gn)","recent studies in dna sequence classification have leveraged sophisticated machine learning techniques, achieving notable accuracy in categorizing complex genomic data. among these, methods such as k-mer counting have proven effective in distinguishing sequences from varied species like chimpanzees, dogs, and humans, becoming a staple in contemporary genomic research. however, these approaches often demand extensive computational resources, posing a challenge in terms of scalability and efficiency. addressing this issue, our study introduces a novel adaptation of jiang et al.'s compressor-based, parameter-free classification method, specifically tailored for dna sequence analysis. this innovative approach utilizes a variety of compression algorithms, such as gzip, brotli, and lzma, to efficiently process and classify genomic sequences. not only does this method align with the current state-of-the-art in terms of accuracy, but it also offers a more resource-efficient alternative to traditional machine learning methods. our comprehensive evaluation demonstrates the proposed method's effectiveness in accurately classifying dna sequences from multiple species. we present a detailed analysis of the performance of each algorithm used, highlighting the strengths and limitations of our approach in various genomic contexts. furthermore, we discuss the broader implications of our findings for bioinformatics, particularly in genomic data processing and analysis. the results of our study pave the way for more efficient and scalable dna sequence classification methods, offering significant potential for advancements in genomic research and applications.","thu, 25 jan 2024 09:17:19 utc (443 kb)"
"15","pretraining and the lasso","erin craig, mert pilanci, thomas le menestrel, balasubramanian narasimhan, manuel rivas, roozbeh dehghannasiri, julia salzman, jonathan taylor, robert tibshirani","methodology (stat.me)","pretraining is a popular and powerful paradigm in machine learning. as an example, suppose one has a modest-sized dataset of images of cats and dogs, and plans to fit a deep neural network to classify them from the pixel features. with pretraining, we start with a neural network trained on a large corpus of images, consisting of not just cats and dogs but hundreds of other image types. then we fix all of the network weights except for the top layer (which makes the final classification) and train (or ""fine tune"") those weights on our dataset. this often results in dramatically better performance than the network trained solely on our smaller dataset. in this paper, we ask the question ""can pretraining help the lasso?"". we develop a framework for the lasso in which an overall model is fit to a large set of data, and then fine-tuned to a specific task on a smaller dataset. this latter dataset can be a subset of the original dataset, but does not need to be. we find that this framework has a wide variety of applications, including stratified models, multinomial targets, multi-response models, conditional average treatment estimation and even gradient boosting. in the stratified model setting, the pretrained lasso pipeline estimates the coefficients common to all groups at the first stage, and then group specific coefficients at the second ""fine-tuning"" stage. we show that under appropriate assumptions, the support recovery rate of the common coefficients is superior to that of the usual lasso trained only on individual groups. this separate identification of common and individual coefficients can also be useful for scientific understanding.","tue, 23 jan 2024 16:59:33 utc (1,781 kb)[v2] thu, 22 feb 2024 06:23:19 utc (1,786 kb)"
"16","embedded hyperspectral band selection with adaptive optimization for image semantic segmentation","yaniv zimmer, oren glickman","computer vision and pattern recognition (cs.cv)","hyperspectral band selection plays a pivotal role in remote sensing and image analysis, aiming to identify the most informative spectral bands while minimizing computational overhead. in this paper, we introduce a pioneering approach for hyperspectral band selection that offers an embedded solution, making it well-suited for resource-constrained or real-time applications. our proposed method, embedded hyperspectral band selection (ehbs), excels in selecting the best bands without the need for prior processing, seamlessly integrating with the downstream task model. this is achieved through the adaptation of the stochastic gates (stg) algorithm, originally designed for feature selection, for hyperspectral band selection in the context of image semantic segmentation and the integration of a dynamic optimizer, dog, which removes the need for the required tuning the learning rate. to assess the performance of our method, we introduce a novel metric for evaluating band selection methods across different target numbers of selected bands quantified by the area under the curve (auc). we conduct experiments on two distinct semantic-segmentation hyperspectral benchmark datasets, demonstrating its superiority in terms of its resulting accuracy and its ease of use compared to many common and state-of-the-art methods. furthermore, our contributions extend beyond the realm of hyperspectral band selection. the adaptability of our approach to other tasks, especially those involving grouped features, opens up promising avenues for broader applications within the realm of deep learning, such as feature selection for feature groups. the demonstrated success on the tested datasets and the potential for application to a variety of tasks underscore the value of our method as a substantial addition to the field of computer vision.","sun, 21 jan 2024 07:48:39 utc (3,120 kb)"
"17","cognitivedog: large multimodal model based system to translate vision and language into action of quadruped robot","artem lykov, mikhail litvinov, mikhail konenkov, rinat prochii, nikita burtsev, ali alridha abdulkarim, artem bazhenov, vladimir berman, dzmitry tsetserukou","robotics (cs.ro)","this paper introduces cognitivedog, a pioneering development of quadruped robot with large multi-modal model (lmm) that is capable of not only communicating with humans verbally but also physically interacting with the environment through object manipulation. the system was realized on unitree go1 robot-dog equipped with a custom gripper and demonstrated autonomous decision-making capabilities, independently determining the most appropriate actions and interactions with various objects to fulfill user-defined tasks. these tasks do not necessarily include direct instructions, challenging the robot to comprehend and execute them based on natural language input and environmental cues. the paper delves into the intricacies of this system, dataset characteristics, and the software architecture. key to this development is the robot's proficiency in navigating space using visual-slam, effectively manipulating and transporting objects, and providing insightful natural language commentary during task execution. experimental results highlight the robot's advanced task comprehension and adaptability, underscoring its potential in real-world applications. the dataset used to fine-tune the robot-dog behavior generation model is provided at the following link: this http url","wed, 17 jan 2024 18:01:24 utc (5,849 kb)"
"18","revalued: regularised ensemble value-decomposition for factorisable markov decision processes","david ireland, giovanni montana","machine learning (cs.lg)","discrete-action reinforcement learning algorithms often falter in tasks with high-dimensional discrete action spaces due to the vast number of possible actions. a recent advancement leverages value-decomposition, a concept from multi-agent reinforcement learning, to tackle this challenge. this study delves deep into the effects of this value-decomposition, revealing that whilst it curtails the over-estimation bias inherent to q-learning algorithms, it amplifies target variance. to counteract this, we present an ensemble of critics to mitigate target variance. moreover, we introduce a regularisation loss that helps to mitigate the effects that exploratory actions in one dimension can have on the value of optimal actions in other dimensions. our novel algorithm, revalued, tested on discretised versions of the deepmind control suite tasks, showcases superior performance, especially in the challenging humanoid and dog tasks. we further dissect the factors influencing revalued's performance, evaluating the significance of the regularisation loss and the scalability of revalued with increasing sub-actions per dimension.","tue, 16 jan 2024 21:47:23 utc (2,102 kb)[v2] fri, 8 mar 2024 10:06:53 utc (2,103 kb)"
"19","dynamics and numerical simulations to predict empirical antibiotic treatment of multi-resistant pseudomonas aeruginosa infection","javier lópez-de-la-cruz, maría pérez-aranda, ana alcudia, belén begines, tomás caraballo, eloísa pajuelo, pedro j. ginel","populations and evolution (q-bio.pe)","this work discloses an epidemiological mathematical model to predict an empirical treatment for dogs infected by pseudomonas aeruginosa. this dangerous pathogen is one of the leading causes of multi-resistant infections and can be transmitted from dogs to humans. numerical simulations and appropriated codes were developed using matlab software to gather information concerning long-time dynamics of the susceptible, infected and recovered individuals. all data compiled from the mathematical model was used to provide an appropriated antibiotic sensitivity panel for this specific infection. in this study, several variables have been included in this model to predict which treatment should be prescribed in emergency cases, when there is no time to perform an antibiogram or the cost of it could not be assumed. in particular, we highlight the use of this model aiming to become part of the convenient toolbox of public health research and decision-making in the design of the mitigation strategy of bacterial pathogens.","sat, 13 jan 2024 00:34:10 utc (1,555 kb)"
"20","benchmark analysis of various pre-trained deep learning models on assira cats and dogs dataset","galib muhammad shahriar himel, md. masudul islam","computer vision and pattern recognition (cs.cv)","as the most basic application and implementation of deep learning, image classification has grown in popularity. various datasets are provided by renowned data science communities for benchmarking machine learning algorithms and pre-trained models. the assira cats & dogs dataset is one of them and is being used in this research for its overall acceptance and benchmark standards. a comparison of various pre-trained models is demonstrated by using different types of optimizers and loss functions. hyper-parameters are changed to gain the best result from a model. by applying this approach, we have got higher accuracy without major changes in the training model. to run the experiment, we used three different computer architectures: a laptop equipped with nvidia geforce gtx 1070, a laptop equipped with nvidia geforce rtx 3080ti, and a desktop equipped with nvidia geforce rtx 3090. the acquired results demonstrate supremacy in terms of accuracy over the previously done experiments on this dataset. from this experiment, the highest accuracy which is 99.65% is gained using the nasnet large.","tue, 9 jan 2024 16:48:11 utc (950 kb)"
"21","emogen: emotional image content generation with text-to-image diffusion models","jingyuan yang, jiawei feng, hui huang","computer vision and pattern recognition (cs.cv)","recent years have witnessed remarkable progress in image generation task, where users can create visually astonishing images with high-quality. however, existing text-to-image diffusion models are proficient in generating concrete concepts (dogs) but encounter challenges with more abstract ones (emotions). several efforts have been made to modify image emotions with color and style adjustments, facing limitations in effectively conveying emotions with fixed image contents. in this work, we introduce emotional image content generation (eicg), a new task to generate semantic-clear and emotion-faithful images given emotion categories. specifically, we propose an emotion space and construct a mapping network to align it with the powerful contrastive language-image pre-training (clip) space, providing a concrete interpretation of abstract emotions. attribute loss and emotion confidence are further proposed to ensure the semantic diversity and emotion fidelity of the generated images. our method outperforms the state-of-the-art text-to-image approaches both quantitatively and qualitatively, where we derive three custom metrics, i.e., emotion accuracy, semantic clarity and semantic diversity. in addition to generation, our method can help emotion understanding and inspire emotional art design.","tue, 9 jan 2024 15:23:21 utc (26,617 kb)"
"22","pushing boundaries: exploring zero shot object classification with large multimodal models","ashhadul islam, md. rafiul biswas, wajdi zaghouani, samir brahim belhaouari, zubair shah","computer vision and pattern recognition (cs.cv)","$ $the synergy of language and vision models has given rise to large language and vision assistant models (llvas), designed to engage users in rich conversational experiences intertwined with image-based queries. these comprehensive multimodal models seamlessly integrate vision encoders with large language models (llms), expanding their applications in general-purpose language and visual comprehension. the advent of large multimodal models (lmms) heralds a new era in artificial intelligence (ai) assistance, extending the horizons of ai utilization. this paper takes a unique perspective on lmms, exploring their efficacy in performing image classification tasks using tailored prompts designed for specific datasets. we also investigate the llvas zero-shot learning capabilities. our study includes a benchmarking analysis across four diverse datasets: mnist, cats vs. dogs, hymnoptera (ants vs. bees), and an unconventional dataset comprising pox vs. non-pox skin images. the results of our experiments demonstrate the model's remarkable performance, achieving classification accuracies of 85\%, 100\%, 77\%, and 79\% for the respective datasets without any fine-tuning. to bolster our analysis, we assess the model's performance post fine-tuning for specific tasks. in one instance, fine-tuning is conducted over a dataset comprising images of faces of children with and without autism. prior to fine-tuning, the model demonstrated a test accuracy of 55\%, which significantly improved to 83\% post fine-tuning. these results, coupled with our prior findings, underscore the transformative potential of llvas and their versatile applications in real-world scenarios.","sat, 30 dec 2023 03:19:54 utc (5,262 kb)"
"23","a proposed new metric for the conceptual diversity of a text","ilknur dönmez phd, mehmet haklıdır phd","computation and language (cs.cl)","a word may contain one or more hidden concepts. while the ""animal"" word evokes many images in our minds and encapsulates many concepts (birds, dogs, cats, crocodiles, etc.), the `parrot' word evokes a single image (a colored bird with a short, hooked beak and the ability to mimic sounds). in spoken or written texts, we use some words in a general sense and some in a detailed way to point to a specific object. until now, a text's conceptual diversity value cannot be determined using a standard and precise technique. this research contributes to the natural language processing field of ai by offering a standardized method and a generic metric for evaluating and comparing concept diversity in different texts and domains. it also contributes to the field of semantic research of languages. if we give examples for the diversity score of two sentences, ""he discovered an unknown entity."" has a high conceptual diversity score (16.6801), and ""the endoplasmic reticulum forms a series of flattened sacs within the cytoplasm of eukaryotic cells."" sentence has a low conceptual diversity score which is 3.9068.","wed, 27 dec 2023 12:19:06 utc (705 kb)"
"24","quadattack: a quadratic programming approach to ordered top-k attacks","thomas paniagua, ryan grainger, tianfu wu","cryptography and security (cs.cr)","the adversarial vulnerability of deep neural networks (dnns) has been well-known and widely concerned, often under the context of learning top-$1$ attacks (e.g., fooling a dnn to classify a cat image as dog). this paper shows that the concern is much more serious by learning significantly more aggressive ordered top-$k$ clear-box~\footnote{ this is often referred to as white/black-box attacks in the literature. we choose to adopt neutral terminology, clear/opaque-box attacks in this paper, and omit the prefix clear-box for simplicity.} targeted attacks proposed in adversarial distillation. we propose a novel and rigorous quadratic programming (qp) method of learning ordered top-$k$ attacks with low computing cost, dubbed as \textbf{quadattac$k$}. our quadattac$k$ directly solves the qp to satisfy the attack constraint in the feature embedding space (i.e., the input space to the final linear classifier), which thus exploits the semantics of the feature embedding space (i.e., the principle of class coherence). with the optimized feature embedding vector perturbation, it then computes the adversarial perturbation in the data space via the vanilla one-step back-propagation. in experiments, the proposed quadattac$k$ is tested in the imagenet-1k classification using resnet-50, densenet-121, and vision transformers (vit-b and deit-s). it successfully pushes the boundary of successful ordered top-$k$ attacks from $k=10$ up to $k=20$ at a cheap budget ($1\times 60$) and further improves attack success rates for $k=5$ for all tested models, while retaining the performance for $k=1$.","tue, 12 dec 2023 05:08:45 utc (22,472 kb)"
"25","keep the faith: faithful explanations in convolutional neural networks for case-based reasoning","tom nuno wolf, fabian bongratz, anne-marie rickmann, sebastian pölsterl, christian wachinger","machine learning (cs.lg)","explaining predictions of black-box neural networks is crucial when applied to decision-critical tasks. thus, attribution maps are commonly used to identify important image regions, despite prior work showing that humans prefer explanations based on similar examples. to this end, protopnet learns a set of class-representative feature vectors (prototypes) for case-based reasoning. during inference, similarities of latent features to prototypes are linearly classified to form predictions and attribution maps are provided to explain the similarity. in this work, we evaluate whether architectures for case-based reasoning fulfill established axioms required for faithful explanations using the example of protopnet. we show that such architectures allow the extraction of faithful explanations. however, we prove that the attribution maps used to explain the similarities violate the axioms. we propose a new procedure to extract explanations for trained protopnets, named protopfaith. conceptually, these explanations are shapley values, calculated on the similarity scores of each prototype. they allow to faithfully answer which prototypes are present in an unseen image and quantify each pixel's contribution to that presence, thereby complying with all axioms. the theoretical violations of protopnet manifest in our experiments on three datasets (cub-200-2011, stanford dogs, rsna) and five architectures (convnet, resnet, resnet50, wideresnet50, resnext50). our experiments show a qualitative difference between the explanations given by protopnet and protopfaith. additionally, we quantify the explanations with the area over the perturbation curve, on which protopfaith outperforms protopnet on all experiments by a factor $>10^3$.","fri, 15 dec 2023 13:36:54 utc (5,738 kb)[v2] mon, 18 dec 2023 17:13:15 utc (5,738 kb)[v3] tue, 19 dec 2023 10:36:41 utc (5,739 kb)"
"26","toward open-ended embodied tasks solving","william wei wang, dongqi han, xufang luo, yifei shen, charles ling, boyu wang, dongsheng li","artificial intelligence (cs.ai)","empowering embodied agents, such as robots, with artificial intelligence (ai) has become increasingly important in recent years. a major challenge is task open-endedness. in practice, robots often need to perform tasks with novel goals that are multifaceted, dynamic, lack a definitive ""end-state"", and were not encountered during training. to tackle this problem, this paper introduces \textit{diffusion for open-ended goals} (dog), a novel framework designed to enable embodied ai to plan and act flexibly and dynamically for open-ended task goals. dog synergizes the generative prowess of diffusion models with state-of-the-art, training-free guidance techniques to adaptively perform online planning and control. our evaluations demonstrate that dog can handle various kinds of novel task goals not seen during training, in both maze navigation and robot control problems. our work sheds light on enhancing embodied ai's adaptability and competency in tackling open-ended goals.","sun, 10 dec 2023 08:43:26 utc (4,376 kb)"
"27","model evaluation for domain identification of unknown classes in open-world recognition: a proposal","gusti ahmad fanshuri alfarisy, owais ahmed malik, ong wee hong","computer vision and pattern recognition (cs.cv)","open-world recognition (owr) is an emerging field that makes a machine learning model competent in rejecting the unknowns, managing them, and incrementally adding novel samples to the base knowledge. however, this broad objective is not practical for an agent that works on a specific task. not all rejected samples will be used for learning continually in the future. some novel images in the open environment may not belong to the domain of interest. hence, identifying the unknown in the domain of interest is essential for a machine learning model to learn merely the important samples. in this study, we propose an evaluation protocol for estimating a model's capability in separating unknown in-domain (id) and unknown out-of-domain (ood). we evaluated using three approaches with an unknown domain and demonstrated the possibility of identifying the domain of interest using the pre-trained parameters through traditional transfer learning, automated machine learning (automl), and nearest class mean (ncm) classifier with first integer neighbor clustering hierarchy (finch). we experimented with five different domains: garbage, food, dogs, plants, and birds. the results show that all approaches can be used as an initial baseline yielding a good accuracy. in addition, a balanced accuracy (baccu) score from a pre-trained model indicates a tendency to excel in one or more domains of interest. we observed that mobilenetv3 yielded the highest baccu score for the garbage domain and surpassed complex models such as the transformer network. meanwhile, our results also suggest that a strong representation in the pre-trained model is important for identifying unknown classes in the same domain. this study could open the bridge toward open-world recognition in domain-specific tasks where the relevancy of the unknown classes is vital.","sat, 9 dec 2023 03:54:25 utc (597 kb)"
